receipt,limitation
console/migrations/m170209_145040_admin_initial_record.php:13,data mutation/command: insert; not executed or interpreted
console/migrations/m201208_080317_work_history_table.php:59,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201210_144631_suggestion_feedback.php:35,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201210_144631_suggestion_feedback.php:49,data mutation/command: createCommand; not executed or interpreted
console/migrations/m201224_094026_request_staff.php:21,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210107_091140_missing_transfer.php:21,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210107_091140_missing_transfer.php:37,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210107_091140_missing_transfer.php:47,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210107_091140_missing_transfer.php:51,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210107_091140_missing_transfer.php:55,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210107_091140_missing_transfer.php:84,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210107_091140_missing_transfer.php:91,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210108_092910_rename_company_contact_to_contact.php:123,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210108_092910_rename_company_contact_to_contact.php:128,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210108_092910_rename_company_contact_to_contact.php:133,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210108_092910_rename_company_contact_to_contact.php:139,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210108_092910_rename_company_contact_to_contact.php:143,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210108_092910_rename_company_contact_to_contact.php:146,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210108_092910_rename_company_contact_to_contact.php:150,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210108_092910_rename_company_contact_to_contact.php:165,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210108_111710_company_contact_tbl.php:70,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210108_111710_company_contact_tbl.php:74,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210108_111710_company_contact_tbl.php:88,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210108_131700_contact_table_rename.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210108_131700_contact_table_rename.php:65,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210111_092924_copy_old_company_token.php:21,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210128_071555_role.php:17,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210128_071555_role.php:26,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210128_071555_role.php:29,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210323_094031_candidate_bank.php:19,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210323_094031_candidate_bank.php:27,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210407_160447_company_email_update.php:35,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210423_100544_suggestion_tbl_field.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210628_063748_transfer_candidate_total_fields.php:18,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210628_063748_transfer_candidate_total_fields.php:21,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210628_063748_transfer_candidate_total_fields.php:24,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210628_112556_staff_token_update.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210910_045917_devidutt_data_migration_from_cell9_to_axiom.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210910_045917_devidutt_data_migration_from_cell9_to_axiom.php:16,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210910_045917_devidutt_data_migration_from_cell9_to_axiom.php:17,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210910_045917_devidutt_data_migration_from_cell9_to_axiom.php:18,data mutation/command: createCommand; not executed or interpreted
console/migrations/m210910_045917_devidutt_data_migration_from_cell9_to_axiom.php:19,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211012_132455_candidate_delete_revert.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211012_132455_candidate_delete_revert.php:16,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211012_132455_candidate_delete_revert.php:17,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211019_093500_fulltimer_filter.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211019_093500_fulltimer_filter.php:120,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211101_064733_revert_back_can_8385.php:12,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211101_064733_revert_back_can_8385.php:13,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211101_064733_revert_back_can_8385.php:14,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211126_083930_request_checklist.php:43,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211126_083930_request_checklist.php:55,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211126_083930_request_checklist.php:55,data mutation/command: batchInsert; not executed or interpreted
console/migrations/m211126_083930_request_checklist.php:59,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211126_083930_request_checklist.php:67,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211126_083930_request_checklist.php:75,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211126_083930_request_checklist.php:83,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211126_083930_request_checklist.php:91,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211126_083930_request_checklist.php:99,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211126_083930_request_checklist.php:107,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211126_083930_request_checklist.php:115,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211126_083930_request_checklist.php:123,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211126_083930_request_checklist.php:131,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211126_083930_request_checklist.php:139,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211126_083930_request_checklist.php:148,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211215_105556_request_to_stories.php:38,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211215_105556_request_to_stories.php:45,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211215_105556_request_to_stories.php:46,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211215_105556_request_to_stories.php:75,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211215_105556_request_to_stories.php:77,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211215_105556_request_to_stories.php:81,data mutation/command: createCommand; not executed or interpreted
console/migrations/m211224_112633_request_is_old.php:26,data mutation/command: createCommand; not executed or interpreted
console/migrations/m220107_120337_cancel_story_if_request.php:19,data mutation/command: createCommand; not executed or interpreted
console/migrations/m220113_164633_cancel.php:20,data mutation/command: createCommand; not executed or interpreted
console/migrations/m220113_164633_cancel.php:25,data mutation/command: createCommand; not executed or interpreted
console/migrations/m220308_093506_remove_candidate_id_data.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m220313_081902_delete_candidate_id_card_entires.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m220322_091722_update_request_table_status_field.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m220729_081818_update_work_history_tbl.php:16,data mutation/command: createCommand; not executed or interpreted
console/migrations/m220729_081818_update_work_history_tbl.php:26,data mutation/command: createCommand; not executed or interpreted
console/migrations/m220906_094922_story_invitation_suggestion.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m220906_094922_story_invitation_suggestion.php:16,data mutation/command: createCommand; not executed or interpreted
console/migrations/m221007_123441_story_changes_for_rework_stopped.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m221007_123441_story_changes_for_rework_stopped.php:16,data mutation/command: createCommand; not executed or interpreted
console/migrations/m221007_123441_story_changes_for_rework_stopped.php:21,data mutation/command: createCommand; not executed or interpreted
console/migrations/m221007_123441_story_changes_for_rework_stopped.php:35,data mutation/command: createCommand; not executed or interpreted
console/migrations/m221007_123441_story_changes_for_rework_stopped.php:39,data mutation/command: createCommand; not executed or interpreted
console/migrations/m221010_073207_story_table_changes.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m221010_073207_story_table_changes.php:17,data mutation/command: createCommand; not executed or interpreted
console/migrations/m221010_073207_story_table_changes.php:22,data mutation/command: createCommand; not executed or interpreted
console/migrations/m221010_073207_story_table_changes.php:29,data mutation/command: createCommand; not executed or interpreted
console/migrations/m221010_073207_story_table_changes.php:33,data mutation/command: createCommand; not executed or interpreted
console/migrations/m221130_112258_candidate_working_hour_trigger.php:15,raw SQL or data transform; not interpreted
console/migrations/m221130_112329_candidate_working_hour_update_time.php:18,data mutation/command: createCommand; not executed or interpreted
console/migrations/m221130_112329_candidate_working_hour_update_time.php:34,data mutation/command: createCommand; not executed or interpreted
console/migrations/m221227_112131_fulltimer_changes.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m230113_065332_candidate_evaluation.php:49,data mutation/command: createCommand; not executed or interpreted
console/migrations/m231217_155618_candidate_query.php:21,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240214_084103_multi_currency.php:206,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240523_133605_education.php:15,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240523_133605_education.php:66,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240523_133605_education.php:68,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240523_133605_education.php:68,data mutation/command: insert; not executed or interpreted
console/migrations/m240523_133605_education.php:74,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240523_133605_education.php:74,data mutation/command: batchInsert; not executed or interpreted
console/migrations/m240523_133605_education.php:90,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240523_133605_education.php:92,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240523_133605_education.php:92,data mutation/command: insert; not executed or interpreted
console/migrations/m240523_133605_education.php:98,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240523_133605_education.php:98,data mutation/command: batchInsert; not executed or interpreted
console/migrations/m240523_133605_education.php:114,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240523_133605_education.php:116,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240523_133605_education.php:116,data mutation/command: insert; not executed or interpreted
console/migrations/m240523_133605_education.php:123,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240523_133605_education.php:123,data mutation/command: batchInsert; not executed or interpreted
console/migrations/m240523_133605_education.php:1560,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240523_133605_education.php:1560,data mutation/command: batchInsert; not executed or interpreted
console/migrations/m240523_133605_education.php:1566,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240604_140119_education.php:45,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240604_140119_education.php:45,data mutation/command: batchInsert; not executed or interpreted
console/migrations/m240715_083745_interview.php:17,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240715_083745_interview.php:18,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240715_083745_interview.php:19,data mutation/command: createCommand; not executed or interpreted
console/migrations/m240715_083745_interview.php:15,raw SQL or data transform; not interpreted
console/migrations/m240715_083745_interview.php:21,raw SQL or data transform; not interpreted
console/migrations/m250209_144529_contract.php:92,data mutation/command: createCommand; not executed or interpreted
console/migrations/m250209_144529_contract.php:102,data mutation/command: createCommand; not executed or interpreted
console/migrations/m250306_191700_transfer_contract.php:15,raw SQL or data transform; not interpreted
console/migrations/m250306_191700_transfer_contract.php:38,raw SQL or data transform; not interpreted
console/migrations/m250320_162139_cron_log.php:22,data mutation/command: createCommand; not executed or interpreted
console/migrations/m250320_162139_cron_log.php:22,data mutation/command: batchInsert; not executed or interpreted
console/migrations/m250714_102450_modify_note_text_in_note_table.php:15,raw SQL or data transform; not interpreted
console/migrations/m250724_111443_add_company_candidate_permissions.php:16,data mutation/command: createCommand; not executed or interpreted
console/migrations/m250724_111443_add_company_candidate_permissions.php:17,data mutation/command: createCommand; not executed or interpreted
console/migrations/m250724_111443_add_company_candidate_permissions.php:20,data mutation/command: insert; not executed or interpreted
console/migrations/m250724_111443_add_company_candidate_permissions.php:38,data mutation/command: insert; not executed or interpreted
console/migrations/m250724_111443_add_company_candidate_permissions.php:39,data mutation/command: createCommand; not executed or interpreted
console/migrations/m250724_111443_add_company_candidate_permissions.php:48,data mutation/command: insert; not executed or interpreted
console/migrations/m250724_111443_add_company_candidate_permissions.php:56,data mutation/command: insert; not executed or interpreted
console/migrations/m250724_111443_add_company_candidate_permissions.php:57,data mutation/command: createCommand; not executed or interpreted
console/migrations/m250731_111622_update_job_interest_notes_charset.php:16,raw SQL or data transform; not interpreted
common/models/Campaign.php:139,campaign: lifecycle hook afterSave requires semantic review
common/models/Candidate.php:780,candidate: lifecycle hook afterSave requires semantic review
common/models/Candidate.php:1229,candidate: lifecycle hook beforeSave requires semantic review
common/models/CandidateEducation.php:137,candidate_education: lifecycle hook afterSave requires semantic review
common/models/CandidateExperience.php:94,candidate_experience: lifecycle hook afterSave requires semantic review
common/models/CandidateIdCard.php:124,candidate_id_card: lifecycle hook beforeSave requires semantic review
common/models/CandidateIdCard.php:137,candidate_id_card: lifecycle hook afterSave requires semantic review
common/models/CandidateSkill.php:88,candidate_skill: lifecycle hook afterSave requires semantic review
common/models/CandidateTag.php:105,candidate_tag: lifecycle hook afterSave requires semantic review
common/models/CandidateWarning.php:92,candidate_warning: lifecycle hook afterSave requires semantic review
common/models/CandidateWorkHistory.php:191,candidate_work_history: lifecycle hook afterSave requires semantic review
common/models/CandidateWorkLogFeedback.php:140,candidate_work_log_feedback: lifecycle hook afterSave requires semantic review
common/models/CandidateWorkingDate.php:136,candidate_working_date: lifecycle hook beforeSave requires semantic review
common/models/CandidateWorkingHour.php:102,candidate_working_hour: lifecycle hook afterSave requires semantic review
common/models/CandidateWorkingHour.php:112,candidate_working_hour: lifecycle hook afterDelete requires semantic review
common/models/Company.php:496,company: lifecycle hook afterSave requires semantic review
common/models/Company.php:1102,company: lifecycle hook beforeSave requires semantic review
common/models/CompanyRequest.php:131,company_request: lifecycle hook afterSave requires semantic review
common/models/Contact.php:139,contact: lifecycle hook afterSave requires semantic review
common/models/Contact.php:179,contact: lifecycle hook beforeSave requires semantic review
common/models/Contact.php:227,contact: lifecycle hook beforeDelete requires semantic review
common/models/Contract.php:160,contract: lifecycle hook beforeSave requires semantic review
common/models/Contract.php:174,contract: lifecycle hook afterSave requires semantic review
common/models/Discount.php:158,discount: lifecycle hook beforeDelete requires semantic review
common/models/Discount.php:174,discount: lifecycle hook afterSave requires semantic review
common/models/DiscountCategory.php:123,discount_category: lifecycle hook beforeDelete requires semantic review
common/models/DiscountCategory.php:139,discount_category: lifecycle hook afterSave requires semantic review
common/models/ExamQuestion.php:118,exam_question: lifecycle hook beforeDelete requires semantic review
common/models/ExamQuestionAnswer.php:117,exam_question_answer: lifecycle hook beforeSave requires semantic review
common/models/ExamQuestionAnswer.php:161,exam_question_answer: lifecycle hook afterSave requires semantic review
common/models/ExamQuestionAnswer.php:192,exam_question_answer: lifecycle hook beforeDelete requires semantic review
common/models/Expense.php:92,expense: lifecycle hook afterSave requires semantic review
common/models/File.php:168,file: lifecycle hook beforeSave requires semantic review
common/models/FixedPriceContract.php:69,fixed_price_contract: lifecycle hook afterSave requires semantic review
common/models/Fulltimer.php:181,fulltimer: lifecycle hook afterSave requires semantic review
common/models/Fulltimer.php:236,fulltimer: lifecycle hook beforeSave requires semantic review
common/models/HourlyContract.php:95,hourly_contract: lifecycle hook afterSave requires semantic review
common/models/Inspector.php:135,inspector: lifecycle hook beforeSave requires semantic review
common/models/Inspector.php:166,inspector: lifecycle hook afterSave requires semantic review
common/models/Invitation.php:169,invitation: lifecycle hook beforeSave requires semantic review
common/models/Invitation.php:184,invitation: lifecycle hook afterSave requires semantic review
common/models/Job.php:153,job: lifecycle hook beforeSave requires semantic review
common/models/MailLog.php:95,mail_log: lifecycle hook afterSave requires semantic review
common/models/Note.php:220,note: lifecycle hook beforeSave requires semantic review
common/models/Note.php:234,note: lifecycle hook afterSave requires semantic review
common/models/Request.php:174,request: lifecycle hook beforeSave requires semantic review
common/models/Request.php:503,request: lifecycle hook afterSave requires semantic review
common/models/Staff.php:230,staff: lifecycle hook beforeSave requires semantic review
common/models/Staff.php:541,staff: lifecycle hook afterSave requires semantic review
common/models/StaffExpenses.php:204,staff_expenses: lifecycle hook beforeSave requires semantic review
common/models/StaffExpenses.php:257,staff_expenses: lifecycle hook beforeDelete requires semantic review
common/models/StaffLeave.php:164,staff_leave: lifecycle hook beforeSave requires semantic review
common/models/StaffLeave.php:217,staff_leave: lifecycle hook beforeDelete requires semantic review
common/models/StoreAssignmentRequest.php:104,store_assignment_request: lifecycle hook afterSave requires semantic review
common/models/Story.php:94,story: lifecycle hook afterSave requires semantic review
common/models/Story.php:162,story: lifecycle hook beforeSave requires semantic review
common/models/StoryActivity.php:84,story_activity: lifecycle hook beforeSave requires semantic review
common/models/StoryActivity.php:124,story_activity: lifecycle hook afterSave requires semantic review
common/models/Suggestion.php:141,suggestion: lifecycle hook afterSave requires semantic review
common/models/Ticket.php:127,ticket: lifecycle hook beforeSave requires semantic review
common/models/Ticket.php:137,ticket: lifecycle hook afterSave requires semantic review
common/models/TicketComment.php:105,ticket_comment: lifecycle hook afterSave requires semantic review
common/models/Transfer.php:175,transfer: lifecycle hook beforeSave requires semantic review
common/models/Transfer.php:270,transfer: lifecycle hook afterSave requires semantic review
common/models/TransferBankAdvice.php:106,transfer_bank_advice: lifecycle hook afterSave requires semantic review
common/models/TransferCandidate.php:308,transfer_candidate: lifecycle hook beforeSave requires semantic review
common/models/TransferCandidate.php:327,transfer_candidate: lifecycle hook afterSave requires semantic review
common/models/TransferFile.php:78,transfer_file: lifecycle hook beforeSave requires semantic review
common/models/WalletTransfer.php:189,wallet.transfer: lifecycle hook afterSave requires semantic review
common/models/WalletUser.php:99,wallet.user: lifecycle hook beforeSave requires semantic review
common/models/WalletUser.php:113,wallet.user: lifecycle hook afterSave requires semantic review
